"","V1","V2","V3"
1,1.9478636603998169540830,-1.07772050248730133504, 0.51111111111111107164
2,1.6795355030998422307675,-0.50037023329767582602, 0.11111111111111093841
3,1.4310835055998654130605, 0.00000000000000000000,-0.19999999999999995559
4,1.2025076678998871670956, 0.42339019740572497730,-0.42222222222222205446
5,0.9938079899999068267391, 0.76980035891950049365,-0.55555555555555558023
6,0.8049844718999242809687, 1.03923048454132582741,-0.59999999999999986677
7,0.6360371135999400848959, 1.23168057427120114511,-0.55555555555555535818
8,0.4869659150999542385208, 1.34715062810912633573,-0.42222222222222249854
9,0.3577708763999664642874, 1.38564064605510117723,-0.20000000000000017764
10,0.2484519974999767344404, 1.34715062810912700186, 0.11111111111111160454
11,0.1590092783999851044907, 1.23168057427120181124, 0.51111111111111018346
12,0.0894427190999915605607, 1.03923048454132649354, 1.00000000000000000000
13,0.0397523195999962344893, 0.76980035891950071569, 1.57777777777777838963
14,0.0099380798999990568876, 0.42339019740572525485, 2.24444444444444535236
