"","V1","V2","V3","V4"
"1",2.45223940657876,-1.75367124991636,1.20428951384387,-0.652578125
"2",2.09398814311492,-0.908786940042922,0.34946831372089,-0.113359375
"3",1.7724466790921,-0.213998693159159,-0.260484203482037,0.240234375
"4",1.485630701027,0.342432847616804,-0.652847837984127,0.434453125
"5",1.23155589543633,0.772247039166841,-0.85490239000458,0.495546875
"6",1.00823794883679,1.08718323837283,-0.893927659762618,0.449765625
"7",0.813692547745068,1.29898080211664,-0.797203447477445,0.323359375
"8",0.645935378677879,1.41937908728014,-0.592009553368268,0.142578125
"9",0.50298212815192,1.46011745074521,-0.305625777654301,-0.0663281250000001
"10",0.382848482683893,1.43293524939373,0.0346680794452446,-0.277109374999999
